,sat,gs,start_time,end_time,TW_index,concat_sat_gs_k,AOSoffset,LOSoffset
0,6a,KSAT_SVALBARD_FF,1110.0,1476.0,1.0,6a_KSAT_SVALBARD_FF_1.0,1110,1476
1,6a,PuntaArenas_FF,10396.0,10940.0,1.0,6a_PuntaArenas_FF_1.0,10396,10940
2,6a,Awarua_FF,39279.0,39819.0,1.0,6a_Awarua_FF_1.0,39279,39819
3,6a,Awarua_FF,83874.0,84440.0,2.0,6a_Awarua_FF_2.0,83874,84440
4,6a,Mauritius_FF,20266.0,20743.0,1.0,6a_Mauritius_FF_1.0,20266,20743
5,1aa,KSAT_SVALBARD_FF,126.0,525.0,1.0,1aa_KSAT_SVALBARD_FF_1.0,126,525
6,1a,KSAT_SVALBARD_FF,6049.0,6271.0,1.0,1a_KSAT_SVALBARD_FF_1.0,6049,6271
7,1a,KSAT_SVALBARD_FF,80828.0,81348.0,2.0,1a_KSAT_SVALBARD_FF_2.0,80828,81348
8,1a,PuntaArenas_FF,9486.0,9998.0,1.0,1a_PuntaArenas_FF_1.0,9486,9998
9,1a,PuntaArenas_FF,54412.0,55006.0,2.0,1a_PuntaArenas_FF_2.0,54412,55006
10,1a,Awarua_FF,38459.0,38964.0,1.0,1a_Awarua_FF_1.0,38459,38964
11,1a,Awarua_FF,83154.0,83754.0,2.0,1a_Awarua_FF_2.0,83154,83757
12,1a,Mauritius_FF,19421.0,19823.0,1.0,1a_Mauritius_FF_1.0,19421,19823
13,1a,Mauritius_FF,25031.0,25594.0,2.0,1a_Mauritius_FF_2.0,25031,25594
14,1a,Mauritius_FF,67666.0,68266.0,3.0,1a_Mauritius_FF_3.0,67666,68266
15,2a,KSAT_SVALBARD_FF,5058.0,5315.0,1.0,2a_KSAT_SVALBARD_FF_1.0,5058,5315
16,2a,KSAT_SVALBARD_FF,16823.0,16966.0,2.0,2a_KSAT_SVALBARD_FF_2.0,16823,16966
17,2a,PuntaArenas_FF,8547.0,9006.0,1.0,2a_PuntaArenas_FF_1.0,8547,9006
18,2a,Awarua_FF,1563.0,1811.0,1.0,2a_Awarua_FF_1.0,1563,1811
19,5a,Mauritius_FF,18583.0,18770.0,1.0,5a_Mauritius_FF_1.0,18583,18770
20,3a,KSAT_SVALBARD_FF,4061.0,4337.0,1.0,3a_KSAT_SVALBARD_FF_1.0,4061,4337
21,3a,PuntaArenas_FF,7619.0,7959.0,1.0,3a_PuntaArenas_FF_1.0,7619,7959
22,3a,Awarua_FF,531.0,914.0,1.0,3a_Awarua_FF_1.0,531,914
23,3a,Mauritius_FF,23042.0,23637.0,1.0,3a_Mauritius_FF_1.0,23042,23637
24,3a,Mauritius_FF,27029.0,27411.0,2.0,3a_Mauritius_FF_2.0,27029,27411
25,4a,KSAT_SVALBARD_FF,3075.0,3408.0,1.0,4a_KSAT_SVALBARD_FF_1.0,3075,3408
26,4a,PuntaArenas_FF,6738.0,6951.0,1.0,4a_PuntaArenas_FF_1.0,6738,6951
27,4a,Mauritius_FF,22169.0,22755.0,1.0,4a_Mauritius_FF_1.0,22169,22755
28,5a,KSAT_SVALBARD_FF,31175.0,31721.0,1.0,5a_KSAT_SVALBARD_FF_1.0,31175,31721
29,5a,PuntaArenas_FF,17091.0,17642.0,1.0,5a_PuntaArenas_FF_1.0,17091,17642
30,5a,Awarua_FF,46071.0,46575.0,1.0,5a_Awarua_FF_1.0,46071,46575
